eia_id,state,area_m2,plant_year,longitude,latitude,open water,"developed, open space","developed, low intensity","developed, medium intensity","developed, high intensity",barren land,deciduous forest,evergreen forest,mixed forest,shrub/scrub,herbaceous,hay/pasture,cultivated crops,woody wetlands,emergent herbaceous wetlands,,,,,,,,,,,,,,,,,
63358,CA,16987.50682,2018,-72.7412415,41.6424561,0.000,0.294,0.412,0.118,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63374,CT,15307.97616,2019,-72.7073135,41.5491943,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.294,0.000,0.647,0.000,,,,,,,,,,,,,,,,,
63375,CT,15779.95567,2019,-72.7061234,41.5492249,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60813,CA,14943.45725,2019,-123.0206604,38.769474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.471,0.529,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
62690,CA,17797.63039,2018,-121.861084,37.2688751,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63054,CA,63432.9418,2019,-117.9656601,35.1415291,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.986,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63204,CA,46926.09961,2019,-119.5668335,36.1404343,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.235,0.000,0.765,0.000,0.000,,,,,,,,,,,,,,,,,
60074,MA,43666.29387,2015,-73.0921402,42.6682205,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.875,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63493,CA,67919.29046,2018,-120.1234589,40.1502914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.303,0.697,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61069,MA,55579.04005,2017,-71.5197144,42.086174,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.390,0.339,0.000,0.000,0.153,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61299,MA,31274.74888,2017,-72.6197739,42.4000664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
61308,MA,39645.0424,2017,-72.0210266,42.1361809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.156,0.000,0.511,0.133,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
